Skill,The Go-Getter Leader,The Hands-off Leader,The Mentoring Leader,The Middle of the Road Leader,The Parental Leader,The Permissive Leader,The Visionary Leader
Accountability,75.21739130434783,67.2,85.76666666666667,71.44444444444444,69.8,67.0,72.41666666666667
Adaptable Social Skills,76.43478260869566,70.8,82.86666666666666,75.11111111111111,76.4,52.0,73.33333333333333
Approachability,89.21739130434783,75.2,91.96666666666667,87.33333333333333,83.8,93.0,81.25
Awareness of Strengths and Limitations,80.34782608695652,64.8,87.46666666666667,72.0,77.2,68.0,67.83333333333333
Beneficial Skills,80.80869565217391,67.28,88.02,78.0,76.56,63.6,73.08333333333333
Building Effective Teams,76.65217391304348,77.6,82.66666666666667,76.0,77.2,69.0,77.08333333333333
Business Skills,79.56521739130434,69.6,87.66666666666667,77.11111111111111,76.4,65.0,74.41666666666667
Calculated Risk-Taking,82.65217391304348,61.2,86.83333333333333,69.44444444444444,67.4,61.0,68.83333333333333
Change Management,78.95652173913044,62.8,82.06666666666666,69.66666666666667,70.2,46.0,67.0
Charisma,87.30434782608695,68.8,89.33333333333333,77.33333333333333,70.8,66.0,73.5
Coaching & Mentoring,88.47826086956522,74.6,94.5,85.88888888888889,80.2,86.0,77.08333333333333
Comfort with Emotions,60.52173913043478,53.6,66.13333333333334,49.77777777777778,50.4,50.0,51.833333333333336
Communication Skills,80.43478260869566,51.0,90.06666666666666,80.22222222222223,77.2,72.0,74.33333333333333
Conflict Management,72.1304347826087,63.2,83.2,77.22222222222223,75.0,47.0,76.5
Conflict-Resolution Behavior,80.26086956521739,72.4,79.8,74.44444444444444,81.4,65.0,67.41666666666667
Conflict-Resolution Knowledge,75.3913043478261,79.8,82.13333333333334,78.77777777777777,82.6,72.0,70.75
Coping Skills,80.95652173913044,67.2,85.13333333333334,72.88888888888889,80.8,68.0,72.0
Customer Orientation,85.43478260869566,80.6,91.73333333333333,89.77777777777777,85.6,77.0,81.91666666666667
Drive,92.6086956521739,75.2,92.73333333333333,78.55555555555556,78.6,60.0,69.33333333333333
Emotional Facilitation of Thought,74.8695652173913,66.8,78.06666666666666,70.22222222222223,77.0,71.0,64.83333333333333
"Emotional Identification, Perception, and Expression",72.73913043478261,63.0,76.03333333333333,68.88888888888889,70.6,59.0,64.5
Emotional Integration,63.69565217391305,53.6,72.83333333333333,65.11111111111111,66.8,65.0,62.833333333333336
Emotional Management,81.82608695652173,69.4,85.9,77.55555555555556,80.0,66.0,72.33333333333333
Emotional Reflection,56.869565217391305,56.0,60.6,56.22222222222222,72.8,66.0,52.833333333333336
Emotional Selectivity,86.56521739130434,75.2,90.46666666666667,88.44444444444444,86.6,75.0,79.25
Emotional Self-awareness,66.8695652173913,46.0,74.66666666666667,59.55555555555556,59.6,46.0,65.0
Emotional Understanding,75.69565217391305,71.8,80.3,78.44444444444444,79.4,70.0,70.5
Empathy,76.69565217391305,63.4,71.76666666666667,73.88888888888889,79.0,66.0,62.166666666666664
Fairness,73.95652173913044,67.4,82.56666666666666,71.88888888888889,78.2,71.0,73.41666666666667
Goal Setting,89.73913043478261,72.4,95.06666666666666,81.88888888888889,79.2,70.0,79.41666666666667
Information Gathering & Analysis,83.26086956521739,67.4,93.86666666666666,82.77777777777777,75.0,64.0,77.25
Innovative Mindset,86.52173913043478,69.4,90.4,78.11111111111111,80.8,65.0,76.91666666666667
Integrity & Ethics,76.95652173913044,71.2,88.73333333333333,77.55555555555556,78.8,70.0,74.66666666666667
Intrapersonal Skills,79.0,66.4,85.46666666666667,69.77777777777777,72.4,59.0,67.5
Key Skills,83.99347826086957,68.89,90.89666666666668,80.04444444444444,79.91,66.4,76.91666666666667
Leading,79.6086956521739,72.0,88.16666666666667,77.11111111111111,76.0,69.0,72.66666666666667
Listening Skills,69.56521739130434,49.2,80.6,67.77777777777777,67.2,76.0,65.5
Managerial Courage,75.21739130434783,68.2,84.76666666666667,67.22222222222223,65.4,53.0,62.583333333333336
Managing Diversity,64.52173913043478,69.6,83.0,71.77777777777777,62.8,62.0,72.16666666666667
Measuring & Evaluating Results,77.52173913043478,73.4,84.13333333333334,82.55555555555556,77.4,95.0,71.16666666666667
Monitoring Employee Performance,83.21739130434783,72.2,89.53333333333333,85.0,83.8,73.0,80.0
Necessary Skills,78.69565217391305,70.15,86.135,77.77222222222223,80.03999999999999,68.75,73.7375
Negotiating Ability,65.6086956521739,64.6,81.73333333333333,74.11111111111111,68.6,53.0,70.25
Organization Skills,89.30434782608695,72.4,94.1,83.11111111111111,83.2,71.0,78.16666666666667
Patience,76.95652173913044,63.8,87.66666666666667,79.11111111111111,79.6,55.0,72.16666666666667
"Planning, Organizing, & Controlling",77.3913043478261,65.6,84.2,77.66666666666667,76.0,70.0,72.58333333333333
Positive Mindset,76.8695652173913,68.4,78.26666666666667,68.66666666666667,72.8,62.0,64.33333333333333
Positive Mindset_manssa,77.6086956521739,62.2,83.76666666666667,64.55555555555556,72.6,63.0,64.91666666666667
Proactive Approach,89.47826086956522,70.0,91.86666666666666,81.33333333333333,77.2,68.0,77.83333333333333
Problem-Solving,93.91304347826087,81.2,96.0,86.44444444444444,88.4,74.0,82.16666666666667
Problem-Solving_manssa,74.52173913043478,63.6,86.1,73.66666666666667,81.0,60.0,73.83333333333333
Project Management,88.78260869565217,84.2,92.6,86.0,87.2,73.0,82.0
Recognition of Other's Emotions,64.78260869565217,59.6,62.06666666666667,62.888888888888886,67.6,49.0,53.583333333333336
Recruitment & Hiring,69.08695652173913,67.2,82.0,73.22222222222223,67.0,66.0,63.666666666666664
Resilience/Hardiness,86.17391304347827,70.0,86.53333333333333,77.33333333333333,78.0,62.0,68.66666666666667
Rewarding Performance,80.43478260869566,73.0,89.86666666666666,82.22222222222223,81.4,73.0,73.83333333333333
Rumination,27.47826086956522,38.8,21.933333333333334,29.77777777777778,26.0,20.0,39.333333333333336
Self-Control,74.26086956521739,60.0,80.86666666666666,68.88888888888889,71.6,50.0,64.16666666666667
Self-Motivation,80.6086956521739,62.4,87.73333333333333,80.44444444444444,82.0,64.0,69.5
Social Insight,87.3913043478261,90.8,95.6,95.55555555555556,90.0,76.0,86.0
Social Insight_manssa,86.0,76.6,90.43333333333334,81.88888888888889,86.8,78.0,78.41666666666667
Soft Skills & Teamwork,79.17391304347827,66.4,87.0,78.88888888888889,78.4,71.0,74.08333333333333
Staffing & HR Functions,78.0,77.0,85.9,79.88888888888889,78.0,79.0,75.0
Steady Effort,75.04347826086956,65.2,83.0,66.11111111111111,69.6,46.0,59.666666666666664
Striving,89.6086956521739,79.4,94.33333333333333,84.22222222222223,83.8,90.0,85.66666666666667
Succession Planning,85.8695652173913,80.0,90.06666666666666,84.44444444444444,84.8,89.0,77.83333333333333
Supportiveness,89.56521739130434,79.4,95.03333333333333,87.44444444444444,89.0,72.0,78.41666666666667
Training & Onboarding,87.47826086956522,90.0,93.4,92.22222222222223,94.0,100.0,86.5
